Unique_Key,Agency_Name,Complaint_Type,Descriptor
26563229,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26556488,New York City Police Department,Illegal Parking,Blocked Sidewalk
26560492,New York City Police Department,Illegal Parking,Blocked Hydrant
26557741,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26549550,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26549360,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26547985,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26551519,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26547785,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26550057,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26553269,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26554535,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26550454,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26554323,New York City Police Department,Illegal Parking,Blocked Hydrant
26553338,New York City Police Department,Illegal Parking,Blocked Hydrant
26548482,New York City Police Department,Illegal Parking,Blocked Hydrant
26554238,New York City Police Department,Illegal Parking,Blocked Hydrant
26554381,New York City Police Department,Illegal Parking,Blocked Hydrant
26548465,New York City Police Department,Illegal Parking,Blocked Hydrant
26550537,New York City Police Department,Illegal Parking,Blocked Hydrant
26554257,New York City Police Department,Illegal Parking,Blocked Hydrant
26555297,New York City Police Department,Illegal Parking,Blocked Sidewalk
26549022,New York City Police Department,Illegal Parking,Blocked Hydrant
26548955,New York City Police Department,Illegal Parking,Blocked Hydrant
26551166,New York City Police Department,Illegal Parking,Blocked Hydrant
26553218,New York City Police Department,Illegal Parking,Blocked Hydrant
26550191,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26551655,New York City Police Department,Illegal Parking,Blocked Sidewalk
26552498,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26551976,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26552007,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26549905,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26553081,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26552249,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26551672,New York City Police Department,Illegal Parking,Blocked Sidewalk
26552023,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26551984,New York City Police Department,Illegal Parking,Blocked Sidewalk
26553186,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26553609,New York City Police Department,Illegal Parking,Blocked Hydrant
26543681,New York City Police Department,Illegal Parking,Blocked Hydrant
26544088,New York City Police Department,Illegal Parking,Blocked Sidewalk
26537791,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26545901,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26545239,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26545378,New York City Police Department,Illegal Parking,Blocked Hydrant
26546931,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26534604,New York City Police Department,Illegal Parking,Blocked Sidewalk
26535701,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26545862,New York City Police Department,Illegal Parking,Blocked Hydrant
26541102,New York City Police Department,Illegal Parking,Blocked Sidewalk
26539551,New York City Police Department,Illegal Parking,Blocked Hydrant
26545757,New York City Police Department,Illegal Parking,Blocked Hydrant
26544267,New York City Police Department,Illegal Parking,Blocked Hydrant
26544235,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26538856,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26545707,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26544043,New York City Police Department,Illegal Parking,Blocked Hydrant
26542560,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26537405,New York City Police Department,Illegal Parking,Blocked Hydrant
26542635,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26545191,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26536329,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26546888,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26538601,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26541986,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26537081,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26538898,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26541699,New York City Police Department,Illegal Parking,Blocked Sidewalk
26534553,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26542743,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26536983,New York City Police Department,Illegal Parking,Blocked Sidewalk
26542482,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26539777,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26540915,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26543647,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26536294,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26535781,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26537730,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26529361,New York City Police Department,Illegal Parking,Blocked Sidewalk
26534413,New York City Police Department,Illegal Parking,Blocked Hydrant
26531537,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26533208,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26529921,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26529885,New York City Police Department,Illegal Parking,Blocked Sidewalk
26530761,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26529118,New York City Police Department,Illegal Parking,Blocked Sidewalk
26530737,New York City Police Department,Illegal Parking,Blocked Sidewalk
26530072,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26529150,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26533080,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26528261,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26532317,New York City Police Department,Illegal Parking,Blocked Hydrant
26530855,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26531518,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26528912,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26533237,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26529706,New York City Police Department,Illegal Parking,Blocked Sidewalk
26533148,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26532675,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
